ID;JOGADOR;SELECAO;ABREVIATURA SELECAO;COPA DO PENTEADO;COPAS QUE JOGOU;POSIÇÃO;IMAGEM;CARACTERISTICA
1;Carlos Valderrama;Colômbia;COL;Cabelo em 1994;1990, 1994 e 1998;Meia;jogadores/valderrama_colombia;cabelo comprido, bigode
2;Alexi Lalas;Estados Unidos;EUA;Cabelo em 1994;1994;Defensor;jogadores/lalas_eua;cabelo comprido, bigode, barba
3;Taribot West;Nigéria;NIG;Cabelo em 1998;1998, 2002;Defensor;jogadores/taribot_nigeria;cabelo curto, careca
4;Jorge Perlaza;Equador;EQU;Cabelo em 2006;2006;Defensor;jogadores/perlaza_equador;cabelo comprido
5;Ronaldo;Brasil;BRA;Cabelo em 2002;1994, 1998, 2002 e 2006;Atacante;jogadores/ronaldo_brasil;cabelo curto, careca
6;Roberto Baggio;Itália;ITA;Cabelo em 1994;1994, 1998 e 2002;Meia;jogadores/baggio_italia;cabelo comprido, bigode, barba
7;Bob Charlton;Inglaterra;ING;Cabelo em 1966;1962, 1966 e 1970;Meia;jogadores/charlton_inglaterra;cabelo curto
8;Rudi Voeller;Alemanha;ALE;Cabelo em 1990;1986, 1990 e 1994;Atacante;jogadores/voller_alemanha;cabelo comprido, bigode
9;Rene Higuita;Colômbia;COL;Cabelo em 1990;1990;Goleiro;jogadores/higuita_colombia;cabelo comprido, bigode
10;Ruud Gullit;Holanda;HOL;Cabelo em 1990;1990;Meia;jogadores/Gullit_holanda;cabelo comprido, bigode
11;Yordan Lechkov;Bulgária;BUL;Cabelo em 1994;1994;Meia;jogadores/lechkov_bulgaria;careca, cabelo curto
12;Eusébio;Portugal;POR;Cabelo em 1966;1966;Atacante;jogadores/eusebio_portugal;cabelo curto
13;Johannes Cruyf;Holanda;HOL;Cabelo em 1974;1974;Atacante;jogadores/cruyf_holanda;cabelo comprido
14;Leônidas da Silva;Brasil;BRA;Cabelo em 1938;1934 e 1938;Atacante;jogadores/leonidas_brasil;cabelo curto, bigode
15;Paolo Rossi;Itália;ITA;Cabelo em 1982;1978, 1982 e 1986;Atacante;jogadores/rossi_italia;cabelo comprido
16;Lothar Matthäus;Alemanha;ALE;Cabelo em 1990;1982, 1986, 1990, 1994 e 1998;Meia;jogadores/matthaus_alemanha;cabelo curto
17;Romário;Brasil;BRA;Cabelo em 1994;1990 e 1994;Atacante;jogadores/romario_brasil;cabelo curto
18;Zinedine Zidane;França;FRA;Cabelo em 1998;1998 e 2002;Meia;jogadores/zidane_franca;cabelo curto
19;	Franz Beckenbauer;Alemanha;ALE;Cabelo em 1974;1966, 1970 e 1974;Defensor;jogadores/Beckenbauer_alemanha;cabelo comprido
20;Jaap Stam;Holanda;HOL;Cabelo em 1998;1998;Defensor;jogadores/stam_holanda;careca, bigode
21;	Paul Breitner;Alemanha;ALE;Cabelo em 1974;1974 e 1982;Meia;jogadores/breitener_alemanha;cabelo comprido, bigode, barba
22;Jürgen Klinsmann;Alemanha;ALE;Cabelo em 1990;1990, 1994 e 1998;Atacante;jogadores/klismann_alemanha;cabelo comprido
23;Sepp Maier;Alemanha;ALE;Cabelo em 1974;1966, 1970, 1974 e 1978;Goleiro;jogadores/sepp_alemanha;cabelo comprido
24;Diego Maradona;Argentina;ARG;Cabelo em  1986;1982, 1986, 1990 e 1994;Meia;jogadores/maradona_argentina;cabelo comprido
25;Claudio Caniggia;Argentina;ARG;Cabelo em  1990;1990, 1994 e 2002;Atacante;jogadores/caniggia_argentina;cabelo comprido
26;Mario Kempes;Argentina;ARG;Cabelo em  1978;1974, 1978 e 1982;Atacante;jogadores/kempes_argentina;cabelo comprido
