Bloco;Bairro;Data;Desfile;Local da Concentraçao;Percurso;Público Estimado
Bloco da Ansiedade;Centro;03/02/2018;16:00;Boulevard Olímpico em frente ao hotpital maternidade Praça XV;-;5000
Dois Pra Lá, Dois Pra Cá;Botafogo;10/02/2018;10:00;Rua Álvaro Ramos, 11;Álvaro Ramos, R. General Goes Monteiro, Av. Lauro Sodré, Túnel Novo (lado esquerdo), Av. Princesa isabel e Av. Atlântica;1000
Blocão de Copacabana;Copacabana;04/02/2018;09:00;Posto 6 de Copacabana (Sofitel);Av Atlantica do Posto 6 ao posto 5;1000
Vai Tomar no Grajaú;Grajaú;04/02/2018;17:00;Av Engenheiro Richard 105;Av Engenheiro Richard, Praça Edmundo Rego, Av Engenheiro Richard;800
Ilha Encosta que Ele Cresce;Ilha do Governador;03/02/2018;16:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 1.191 (Farol da Ilha);900
Foliões do Rio;Ilha do Governador;28/01/2018;14:00;Praça Jerusalém;Av. Alves Câmara Junior (Praia da Bica), da Praça Jerusalém até o nº 819 (Quiosque 22);3500
Boca Maldita;Copacabana;12/02/2018;17:00;Rua Paula Freitas Esquina Com Av. Atlantica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem.;3000
Choppinho da Paula Freitas com Boca Maldita;Copacabana;11/02/2018;17:00;Rua Paula Freitas, esquina com Avenida Atlântica;Av. Atlântica com Paula Freitas, até a Rodolfo Dantas e retorna ao local de origem.;2000
Afoxé Filhos de Gandhi;Copacabana;12/02/2018;17:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;2000
Bloco Afro Afoxé Ile Ala;Copacabana;12/02/2018;15:00;Posto 6 de Copacabana;Av. Atlântica do Posto 6 ao Posto 4;500
Pra que Juízo;Vila da Penha;27/01/2018;18:00;Largo do Bicão;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo;2000
Pra que Juízo;Vila da Penha;03/02/2018;18:00;Largo do Bicão;Av. Braz de Pina (Altura do Mc Donalds) seguindo até a Rua Oliveira Belo;2000
Bloco da Chaleira do Vidigal;Leblon;04/02/2018;15:00;Av. Delfim Moreira com Jardim de Alah;Av. Delfim Moreira com Jardim de Alah até o final da Avenida. (Posto 12);700
