Negrito,Chapéu,Data de nascimento,Posição,Clube,jogos seleção,Gols seleção,Texto,Imagem
Alisson,Galã,02/10/1992,Goleiro,Roma,24,0,"Aos 11 anos, decidiu seguir os passos do irmão mais velho Muriel. No Internacional, colocou o irmão no banco até se transferir para a Roma. É o favorito de Tite para vestir a camisa 1 do Brasil na Copa do Mundo e do público feminino, no quesito beleza.",alisson
Ederson,Com prestígio,26/02/1993,Goleiro,Manchester City,1,0,"Goleiro mais caro a atuar nesta Copa - Buffon, o mais caro do mundo, foi eliminado com a Itália - Ederson é o primeiro brasileiro a jogar um Mundial sem nunca ter atuado profissionalmente em seu país. Aos 15 anos, tentou a sorte em Portugal e venceu.",ederson
Cássio,Serviços prestados,06/06/1987,Goleiro,Corinthians,1,0,"Cássio chegou ao Corinthians em 2012, aos 24 anos, e pouco conhecido. Mas ele logo chamou a atenção pela sequência de bons jogos, conquistando - tendo Tite como técnico - a Libertadores e o Mundial de Clubes, com direito ao prêmio da Luva de Ouro.",cassio
Miranda,Recompensado,07/09/1984,Zagueiro,Inter de Milão,45,2,"A carreira de Miranda demorou a deslanchar: chegou ao São Paulo aos 22 anos e passou parte da carreira sem empresário. Perdeu a Copa de 2010 por causa de uma expulsão e foi esquecido por Felipão em 2014, quando estava no auge. Deve ser titular com Tite.",miranda
Thiago Silva,Redenção,22/09/1984,Zagueiro,Paris Saint-Germain,69,5,"Capitão na Copa de 2014, caiu em desgraça ao mostrar instabilidade emocional e chorar antes dos pênaltis contra o Chile. Perdeu a braçadeira, ficou sem ser convocado, mas a chegada de Tite e as atuações pelo PSG fizeram com que ele desse a volta por cima.",thiago-silva
Marquinhos,Vez do precoce,14/05/1994,Zagueiro,Paris Saint-Germain,24,0,"Com menos de 18 anos, Marquinhos movimentou 37 milhões de euros. Jogou cinco jogos pelo Corinthians e foi para a Roma, outros 26 e foi para o PSG. A boa marcação também rendeu casamento: a esposa conta que ele a perseguiu na internet até se conhecerem.",marquinhos
Geromel,Xerifão,21/09/1985,Zagueiro,Grêmio,2,0,"Quando saiu, aos 17 anos, para jogar pelo Chaves, de Portugal, um amigo disse que ele voltaria em três meses. Somente dez anos depois o zagueiro voltou para se tornar o Geromito no Grêmio. Foi o melhor zagueiro do Brasileirão e venceu a Libertadores.",geromel
Fagner,Na conta de Tite,11/06/1989,Lateral-direito,Corinthians,4,0,"Um jogador duro, às vezes violento nos carrinhos, conta com a confiança de Tite. Depois de quase morrer aos seis anos em um acidente com o irmão mais velho, perdeu os movimentos de uma das mãos. É uma das referências do Corinthians, campeão brasileiro.",fagner
Danilo,Mais maduro,15/07/1991,Lateral-direito,Manchester City,16,0,"Quando o Manchester City pagou 30 milhões de euros por Danilo, muitos ficaram surpresos. Forte e rápido no ataque, ele não parecia combinar com o estilo de Guardiola, mas sua versatilidade mostrou o contrário. Mostrou amadurecimento para ser convocado.",danilo
Marcelo,No auge,12/05/1988,Lateral-esquerdo,Real Madrid,52,6,"Herdeiro de Roberto Carlos no Real Madrid e na seleção, Marcelo ainda enfrenta críticas por seu jogo muito ofensivo. Ele chegará a Sochi com fome de glória, aos 30 anos, no auge. Um dos sobreviventes do 7 a 1, ele jogará a Copa em busca de redenção.",marcelo
